Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SNPA,MG0052,Pará de Minas,PARÁ DE MINAS,Minas Gerais,Pará de Minas,Minas Gerais,"19°50'33.0S""","044°36'03.0W""",839,VFR,,12/30,1140,23,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,13/06/2028,PA2018-1756,https://pergamum.anac.gov.br/arquivos/PA2018-1756.pdf,-19.8425,-44.600833333
SBAR,SE0001,Santa Maria,ARACAJU,Sergipe,Aracaju,Sergipe,"10°59'07.0S""","037°04'24.0W""",7,VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,2200,45,48/F/B/X/T,Asfalto,,,,,,Cadastrado,23/12/2030,PA2020-3773,https://pergamum.anac.gov.br/arquivos/PA2020-3773.pdf,-10.985277778,-37.073333333
SSAQ,RS0036,Aeroclube de Passo Fundo,PASSO FUNDO,Rio Grande do Sul,Passo Fundo,Rio Grande do Sul,"28°15'02.0S""","052°31'00.0W""",600,VFR,Sem Operação,15/33,1080,35,5700 Kg / 0.50 MPa,Grama,17/35,940,18,5700 Kg / 0.50 MPa,Grama,Cadastrado,16/02/2028,PA2018-0468,https://pergamum.anac.gov.br/arquivos/PA2018-0468.pdf,-28.250555556,-52.516666667
SWFN,AM0002,Flores,MANAUS,Amazonas,Manaus,Amazonas,"03°04'22.0S""","060°01'16.0W""",62,VFR,,11/29,830,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,10/05/2027,PA2017-1581,https://pergamum.anac.gov.br/arquivos/PA2017-1581.pdf,-3.072777778,-60.021111111
SNMN,MG0075,Minas Novas,MINAS NOVAS,Minas Gerais,Minas Novas,Minas Gerais,"17°14'02.0S""","042°35'02.0W""",750,VFR,Sem Operação,15/33,800,20,2500 Kg / 0.50 MPa,Asfalto,,,,,,Interditado,,,,-17.233888889,-42.583888889
SSJA,SC0014,Santa Terezinha,JOAÇABA,Santa Catarina,Joaçaba,Santa Catarina,"27°10'22.0S""","051°33'06.0W""",776,VFR,VFR,15/33,1260,18,10/F/C/Y/U,Asfalto,,,,,,Cadastrado,13/08/2028,PA2018-2444,https://pergamum.anac.gov.br/arquivos/PA2018-2444.pdf,-27.172777778,-51.551666667
SWCB,GO0023,Campos Belos,CAMPOS BELOS,Goiás,Campos Belos,Goiás,"13°00'25.0S""","046°42'39.0W""",690,VFR,Sem Operação,18/36,1200,20,2500 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,03/12/2030,PA2020-3558,https://pergamum.anac.gov.br/arquivos/PA2020-3558.pdf,-13.006944444,-46.710833333
SWNH,GO0017,Aruanã,ARUANÃ,Goiás,Aruanã,Goiás,"14°55'59.0S""","051°02'54.0W""",250,VFR,,06/24,1300,23,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1082,https://pergamum.anac.gov.br/arquivos/PA2020-1082.pdf,-14.933055556,-51.048333333
SNOF,MG0057,Ouro Fino,OURO FINO,Minas Gerais,Ouro Fino,Minas Gerais,"22°17'51.0S""","046°23'36.0W""",859,VFR,Sem Operação,06/24,1080,50,2500 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,,,,-22.2975,-46.393333333
SNMZ,PA0020,Porto de Moz,PORTO DE MOZ,Pará,Porto de Moz,Pará,"01°44'29.0S""","052°14'09.0W""",16,VFR,,05/23,1270,28,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,09/08/2027,PA2017-2640,https://pergamum.anac.gov.br/arquivos/PA2017-2640.pdf,-1.741388889,-52.235833333
SDXJ,MS0017,Costa Rica,COSTA RICA,Mato Grosso do Sul,Costa Rica,Mato Grosso do Sul,"18°29'29.0S""","053°10'06.0W""",738,VFR,,09/27,1160,23,10/F/B/Y/T,Asfalto,,,,,,Cadastrado,18/08/2025,PA2015-2207,https://pergamum.anac.gov.br/arquivos/PA2015-2207.pdf,-18.491388889,-53.168333333
SNCS,CE0009,Campos Sales,CAMPOS SALES,Ceará,Campos Sales,Ceará,"07°02'58.0S""","040°21'51.0W""",610,VFR,Sem Operação,11/29,1200,30,17/F/A/X/T,Asfalto,,,,,,Cadastrado,,PD2004-0367,https://pergamum.anac.gov.br/arquivos/PD2004-0367.pdf,-7.049444444,-40.364166667
SNED,BA0023,Sócrates Rezende,CANAVIEIRAS,Bahia,Canavieiras,Bahia,"15°39'59.0S""","038°57'19.0W""",6,VFR,,14/32,1340,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Interditado,26/04/2027,PA2017-1349,https://pergamum.anac.gov.br/arquivos/PA2017-1349.pdf,-15.666388889,-38.955277778
