Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SBRB,AC0001,Plácido de Castro,RIO BRANCO,Acre,Rio Branco,Acre,"09°52'06.0S""","067°53'53.0W""",193,VFR / IFR - CAT I,VFR / IFR - CAT I,06/24,2158,45,78/F/D/X/T,Asfalto,,,,,,Cadastrado,23/08/2028,PA2018-2577,https://pergamum.anac.gov.br/arquivos/PA2018-2577.pdf,-9.868333333,-67.898055556
SNGA,ES0007,Guarapari,GUARAPARI,Espírito Santo,Guarapari,Espírito Santo,"20°38'47.0S""","040°29'30.0W""",9,VFR,VFR,06/24,940,30,13/F/C/X/T,Asfalto,,,,,,Cadastrado,06/11/2027,PA2017-3632,https://pergamum.anac.gov.br/arquivos/PA2017-3632.pdf,-20.646388889,-40.491666667
SBIZ,MA0002,Prefeito Renato Moreira,IMPERATRIZ,Maranhão,Imperatriz,Maranhão,"05°31'50.0S""","047°27'30.0W""",131,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,1798,45,50/F/A/X/T,Asfalto,,,,,,Cadastrado,24/07/2028,PA2018-2252,https://pergamum.anac.gov.br/arquivos/PA2018-2252.pdf,-5.530555556,-47.458333333
SBPC,MG0018,Embaixador Walther Moreira Salles,POÇOS DE CALDAS,Minas Gerais,Poços de Caldas,Minas Gerais,"21°50'16.0S""","046°33'58.0W""",1261,VFR / IFR Não Precisão,Sem Operação,09/27,1515,30,14/F/C/Y/U,Asfalto,,,,,,Cadastrado,20/02/2029,PA2019-0534,https://pergamum.anac.gov.br/arquivos/PA2019-0534.pdf,-21.837777778,-46.566111111
SSCD,MS0007,Chapadão do Sul,CHAPADÃO DO SUL,Mato Grosso do Sul,Chapadão do Sul,Mato Grosso do Sul,"18°50'21.0S""","052°29'17.0W""",817,VFR,VFR,05/23,2000,30,30/F/C/X/T,Asfalto,,,,,,Cadastrado,01/10/2028,PA2018-2968,https://pergamum.anac.gov.br/arquivos/PA2018-2968.pdf,-18.839166667,-52.488055556
SBBE,PA0001,Aeroporto Internacional de Bélem,BELÉM,Pará,Belém,Pará,"01°23'05.0S""","048°28'44.0W""",17,VFR / IFR - CAT I,VFR / IFR - CAT I,02/20,1830,45,50/F/A/X/T,Asfalto,06/24,2800,45,65/F/A/X/T,Asfalto,Cadastrado,,,,-1.384722222,-48.478888889
SBJP,PB0001,Internacional Presidente Castro Pinto,BAYEUX,Paraíba,João Pessoa,Paraíba,"07°08'54.0S""","034°57'01.0W""",66,VFR / IFR Não Precisão,VFR / IFR Não Precisão,16/34,2515,45,52/F/B/X/T,Asfalto,,,,,,Cadastrado,22/05/2025,PA2015-1203,https://pergamum.anac.gov.br/arquivos/PA2015-1203.pdf,-7.148333333,-34.950277778
SBKG,PB0003,Presidente João Suassuna,CAMPINA GRANDE,Paraíba,Campina Grande,Paraíba,"07°16'09.0S""","035°53'42.0W""",502,VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,1600,42,50/F/A/X/T,Asfalto,,,,,,Cadastrado,15/03/2026,PA2016-0575,https://pergamum.anac.gov.br/arquivos/PA2016-0575.pdf,-7.269166667,-35.895
SBMG,PR0004,Silvio Name Júnior,MARINGÁ,Paraná,Maringá,Paraná,"23°28'46.0S""","052°00'44.0W""",549,VFR / IFR Não Precisão,VFR / IFR Não Precisão,10/28,2100,45,45/F/A/X/T,Asfalto,,,,,,Cadastrado,25/01/2031,PA2020-4088,https://pergamum.anac.gov.br/arquivos/PA2020-4088.pdf,-23.479444444,-52.012222222
SBCA,PR0005,Coronel Adalberto Mendes da Silva,CASCAVEL,Paraná,Cascavel,Paraná,"25°00'08.0S""","053°30'07.0W""",759,VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,1615,30,48/F/B/X/T,Asfalto,,,,,,Cadastrado,20/11/2025,PA2015-3092,https://pergamum.anac.gov.br/arquivos/PA2015-3092.pdf,-25.002222222,-53.501944444
SSNG,RS0046,Montenegro,MONTENEGRO,Rio Grande do Sul,Montenegro,Rio Grande do Sul,"29°43'11.0S""","051°29'20.0W""",24,VFR,Sem Operação,13/31,920,23,5700 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,13/07/2026,PA2016-1774,https://pergamum.anac.gov.br/arquivos/PA2016-1774.pdf,-29.719722222,-51.488888889
SBAE,SP0010,Aeroporto Estadual de Bauru-Arealva,AREALVA,São Paulo,Bauru,São Paulo,"22°09'28.0S""","049°04'06.0W""",594,VFR / IFR Não Precisão,VFR / IFR Não Precisão,17/35,2010,45,42/F/A/X/T,Asfalto,,,,,,Cadastrado,04/04/2023,PA2013-0888,https://pergamum.anac.gov.br/arquivos/PA2013-0888.pdf,-22.157777778,-49.068333333
SIMK,SP0011,Tenente Lund Pressoto,FRANCA,São Paulo,Franca,São Paulo,"20°35'25.0S""","047°22'57.0W""",1003,VFR,VFR,05/23,2000,30,26/F/B/X/T,Asfalto,,,,,,Cadastrado,08/01/2026,PA2016-0034,https://pergamum.anac.gov.br/arquivos/PA2016-0034.pdf,-20.590277778,-47.3825
SBML,SP0014,Frank Miloye Milenkovich,MARÍLIA,São Paulo,Marília,São Paulo,"22°11'44.0S""","049°55'37.0W""",650,VFR / IFR Não Precisão,VFR / IFR Não Precisão,03/21,1700,35,35/F/B/X/T,Asfalto,,,,,,Cadastrado,10/05/2027,PA2017-1580,https://pergamum.anac.gov.br/arquivos/PA2017-1580.pdf,-22.195555556,-49.926944444
SNWC,CE0011,Camocim,CAMOCIM,Ceará,Camocim,Ceará,"02°53'45.0S""","040°51'32.0W""",14,VFR,VFR,14/32,1200,30,14/F/B/Y/U,Asfalto,,,,,,Interditado,07/05/2030,PA2020-1190,https://pergamum.anac.gov.br/arquivos/PA2020-1190.pdf,-2.895833333,-40.858888889
SSKM,PR0017,Campo Mourão,CAMPO MOURÃO,Paraná,Campo Mourão,Paraná,"24°00'09.0S""","052°21'25.0W""",574,VFR,VFR,02/20,1370,30,14/F/C/Y/U,Asfalto,,,,,,Cadastrado,04/03/2030,PA2020-0578,https://pergamum.anac.gov.br/arquivos/PA2020-0578.pdf,-24.0025,-52.356944444
SWNS,GO0004,Anápolis,ANÁPOLIS,Goiás,Anápolis,Goiás,"16°21'45.0S""","048°55'41.0W""",1112,VFR,VFR,07/25,1218,45,30/F/C/X/U,Asfalto,,,,,,Cadastrado,16/04/2030,PA2020-1010,https://pergamum.anac.gov.br/arquivos/PA2020-1010.pdf,-16.3625,-48.928055556
SNGX,MG0023,Guaxupé,GUAXUPÉ,Minas Gerais,Guaxupé,Minas Gerais,"21°19'36.0S""","046°43'49.0W""",849,VFR,VFR,12/30,1500,30,19/F/A/Y/T,Asfalto,,,,,,Cadastrado,23/06/2030,PA2020-1564,https://pergamum.anac.gov.br/arquivos/PA2020-1564.pdf,-21.326666667,-46.730277778
SBGL,RJ0001,Galeão - Antônio Carlos Jobim,RIO DE JANEIRO,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,"22°48'36.0S""","043°15'02.0W""",9,VFR / IFR - CAT II,VFR / IFR - CAT II,15/33,3180,47,73/F/B/X/T,Asfalto,10/28,4000,45,78/R/A/W/T,Concreto,Cadastrado,11/07/2022,PA2012-1398,https://pergamum.anac.gov.br/arquivos/PA2012-1398.pdf,-22.81,-43.250555556
SBCF,MG0001,Tancredo Neves,CONFINS,Minas Gerais,Belo Horizonte,Minas Gerais,"19°37'28.0S""","043°58'19.0W""",827,,,16/34,3600,45,75/F/B/W/T,Asfalto,,,,,,Cadastrado,13/08/2028,PA2018-2457,https://pergamum.anac.gov.br/arquivos/PA2018-2457.pdf,-19.624444444,-43.971944444
SNIC,BA0019,Irecê,IRECÊ,Bahia,Irecê,Bahia,"11°20'24.0S""","041°50'49.0W""",784,VFR,VFR,11/29,1400,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,20/05/2030,PA2020-1299,https://pergamum.anac.gov.br/arquivos/PA2020-1299.pdf,-11.34,-41.846944444
SNKI,ES0006,Aeródromo de Cachoeiro do Itapemirim,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,Cachoeiro de Itapemirim,Espírito Santo,"20°50'07.0S""","041°11'11.0W""",78,VFR,VFR,06/24,1200,30,14/F/C/Y/T,Asfalto,,,,,,Cadastrado,19/06/2025,PA2015-1473,https://pergamum.anac.gov.br/arquivos/PA2015-1473.pdf,-20.835277778,-41.186388889
SBDB,MS0004,Aeródromo Público de Bonito,BONITO,Mato Grosso do Sul,Bonito,Mato Grosso do Sul,"21°14'50.0S""","056°27'09.0W""",334,VFR,VFR,18/36,2000,30,48/F/A/X/T,Asfalto,,,,,,Cadastrado,13/05/2025,PA2015-1122,https://pergamum.anac.gov.br/arquivos/PA2015-1122.pdf,-21.247222222,-56.4525
SBPP,MS0005,Ponta Porã - Internacional,PONTA PORÃ,Mato Grosso do Sul,Ponta Porã,Mato Grosso do Sul,"22°32'59.0S""","055°42'11.0W""",657,VFR / IFR Não Precisão,IFR Não Precisão,04/22,2000,45,31/F/A/X/T,Asfalto,,,,,,Cadastrado,10/05/2023,PA2013-1185,https://pergamum.anac.gov.br/arquivos/PA2013-1185.pdf,-22.549722222,-55.703055556
SNTS,PB0005,Patos,PATOS,Paraíba,Patos,Paraíba,"07°02'16.0S""","037°15'27.0W""",265,VFR,VFR,12/30,1600,30,6/F/C/Y/U,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1080,https://pergamum.anac.gov.br/arquivos/PA2020-1080.pdf,-7.037777778,-37.2575
SBCX,RS0007,Hugo Cantergiani,CAXIAS DO SUL,Rio Grande do Sul,Caxias do Sul,Rio Grande do Sul,"29°11'44.0S""","051°11'23.0W""",754,VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,1670,30,45/F/A/X/T,Asfalto,,,,,,Cadastrado,07/11/2027,PA2017-3509,https://pergamum.anac.gov.br/arquivos/PA2017-3509.pdf,-29.195555556,-51.189722222
SBBG,RS0010,Comandante Gustavo Kraemer,BAGÉ,Rio Grande do Sul,Bagé,Rio Grande do Sul,"31°23'27.0S""","054°06'35.0W""",186,VFR / IFR Não Precisão,VFR / IFR Não Precisão,14/32,1149,45,5700 Kg / 0.62 MPa,Grama,06/24,1500,30,18/R/A/Y/T,Concreto,Cadastrado,09/08/2028,PA2018-2459,https://pergamum.anac.gov.br/arquivos/PA2018-2459.pdf,-31.390833333,-54.109722222
SSCN,RS0019,Canela,CANELA,Rio Grande do Sul,Canela,Rio Grande do Sul,"29°22'14.0S""","050°49'56.0W""",837,VFR,VFR,06/24,1260,18,21/F/B/Y/T,Asfalto,,,,,,Cadastrado,09/09/2029,PA2019-2752,https://pergamum.anac.gov.br/arquivos/PA2019-2752.pdf,-29.370555556,-50.832222222
SSIM,SC0009,Forquilhinha-Criciúma,FORQUILHINHA,Santa Catarina,Forquilhinha,Santa Catarina,"28°43'28.0S""","049°25'16.0W""",28,VFR / IFR Não Precisão,VFR / IFR Não Precisão,09/27,1488,30,22/F/C/X/U,Asfalto,,,,,,Cadastrado,20/05/2029,PA2019-1479,https://pergamum.anac.gov.br/arquivos/PA2019-1479.pdf,-28.724444444,-49.421111111
SDDN,SP0020,Paulino Ribeiro de Andrade,ANDRADINA,São Paulo,Andradina,São Paulo,"20°53'33.0S""","051°23'02.0W""",380,VFR,VFR,11/29,1500,30,12/F/B/Y/T,Asfalto,,,,,,Cadastrado,23/11/2025,PA2015-3120,https://pergamum.anac.gov.br/arquivos/PA2015-3120.pdf,-20.8925,-51.383888889
SDPW,SP0041,Pedro Morganti,PIRACICABA,São Paulo,Piracicaba,São Paulo,"22°42'38.0S""","047°37'10.0W""",584,VFR,VFR,17/35,1200,30,21/F/A/X/T,Asfalto,,,,,,Cadastrado,02/08/2028,PA2018-2356,https://pergamum.anac.gov.br/arquivos/PA2018-2356.pdf,-22.710555556,-47.619444444
SSKU,SC0016,Lauro Antônio da Costa,CURITIBANOS,Santa Catarina,Curitibanos,Santa Catarina,"27°17'14.0S""","050°36'14.0W""",978,VFR,VFR,11/29,1400,30,22/F/A/Y/T,Asfalto,,,,,,Cadastrado,20/05/2030,PA2020-1296,https://pergamum.anac.gov.br/arquivos/PA2020-1296.pdf,-27.287222222,-50.603888889
SSAP,PR0014,Capitão João Busse,APUCARANA,Paraná,Apucarana,Paraná,"23°36'44.0S""","051°23'06.0W""",800,VFR,VFR,10/28,1400,30,9/F/C/Y/U,Asfalto,,,,,,Cadastrado,07/05/2030,PA2020-1193,https://pergamum.anac.gov.br/arquivos/PA2020-1193.pdf,-23.612222222,-51.385
SBPA,RS0001,Salgado Filho,PORTO ALEGRE,Rio Grande do Sul,Porto Alegre,Rio Grande do Sul,"29°59'41.0S""","051°10'16.0W""",4,VFR / IFR - CAT II,VFR / IFR - CAT II,11/29,2280,45,74/F/A/X/T,Asfalto,,,,,,Cadastrado,23/06/2024,PA2014-1446,https://pergamum.anac.gov.br/arquivos/PA2014-1446.pdf,-29.994722222,-51.171111111
SBNM,RS0008,Santo Ângelo,SANTO ÂNGELO,Rio Grande do Sul,Santo Ângelo,Rio Grande do Sul,"28°16'54.0S""","054°10'06.0W""",322,VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,1625,30,35/F/A/X/T,Asfalto,,,,,,Cadastrado,20/02/2027,PA2019-3072,https://pergamum.anac.gov.br/arquivos/PA2019-3072.pdf,-28.281666667,-54.168333333
SNAL,AL0003,Arapiraca,ARAPIRACA,Alagoas,Arapiraca,Alagoas,"09°46'35.0S""","036°37'50.0W""",270,VFR,VFR,10/28,930,18,13/F/B/Y/T,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1073,https://pergamum.anac.gov.br/arquivos/PA2020-1073.pdf,-9.776388889,-36.630555556
SWPZ,GO0010,Ouriçanga de Abreu,POSSE,Goiás,Posse,Goiás,"14°07'05.0S""","046°20'43.0W""",841,VFR,VFR,10/28,1500,25,18/F/B/Y/T,Asfalto,,,,,,Cadastrado,12/08/2030,PA2020-1994,https://pergamum.anac.gov.br/arquivos/PA2020-1994.pdf,-14.118055556,-46.345277778
SBSV,BA0001,Deputado Luis Eduardo Magalhães-Intl,SALVADOR,Bahia,Salvador,Bahia,"12°54'31.0S""","038°19'21.0W""",20,VFR / IFR - CAT I,VFR / IFR - CAT I,10/28,3003,45,104/F/B/X/T,Asfalto,17/35,1518,45,41/F/B/X/T,Asfalto,Cadastrado,04/06/2024,PA2014-1258,https://pergamum.anac.gov.br/arquivos/PA2014-1258.pdf,-12.908611111,-38.3225
SBJH,SP1176,São Paulo Catarina Aeroporto Executivo,SÃO ROQUE,São Paulo,São Roque,São Paulo,"23°25'37.0S""","047°09'57.0W""",777,VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,2470,33,30/F/B/X/T,Asfalto,,,,,,Cadastrado,02/12/2029,PA2019-3689,https://pergamum.anac.gov.br/arquivos/PA2019-3689.pdf,-23.426944444,-47.165833333
SBSO,MT0005,Regional de Sorriso Adolino Bedin,SORRISO,Mato Grosso,Sorriso,Mato Grosso,"12°28'22.0S""","055°40'08.0W""",386,VFR / IFR Não Precisão,VFR / IFR Não Precisão,05/23,1700,30,26/F/A/Y/T,Asfalto,,,,,,Cadastrado,05/08/2025,PA2016-0745,https://pergamum.anac.gov.br/arquivos/PA2016-0745.pdf,-12.472777778,-55.668888889
SBGR,SP0002,Guarulhos - Governador André Franco Montoro,GUARULHOS,São Paulo,Guarulhos,São Paulo,"23°26'08.0S""","046°28'23.0W""",750,VFR / IFR - CAT III A,VFR / IFR - CAT III A,09L/27R,3700,45,77/F/B/W/T,Asfalto,09R/27L,3000,45,77/F/B/W/T,Asfalto,Cadastrado,,,,-23.435555556,-46.473055556
SNBR,BA0011,Barreiras,BARREIRAS,Bahia,Barreiras,Bahia,"12°04'45.0S""","045°00'34.0W""",748,VFR,VFR,08/26,1600,30,35/F/A/X/T,Asfalto,,,,,,Cadastrado,17/09/2024,PA2014-2208,https://pergamum.anac.gov.br/arquivos/PA2014-2208.pdf,-12.079166667,-45.009444444
SNTF,BA0016,Teixeira de Freitas,TEIXEIRA DE FREITAS,Bahia,Teixeira de Freitas,Bahia,"17°31'28.0S""","039°40'06.0W""",105,VFR,VFR,11/29,1460,30,31/F/A/X/T,Asfalto,,,,,,Cadastrado,12/08/2024,PA2014-1877,https://pergamum.anac.gov.br/arquivos/PA2014-1877.pdf,-17.524444444,-39.668333333
SBAC,CE0004,Aeroporto Regional de Acarati,ARACATI,Ceará,Aracati,Ceará,"04°34'07.0S""","037°48'17.0W""",36,VFR / IFR Não Precisão,VFR / IFR Não Precisão,09/27,1800,30,36/F/A/X/U,Asfalto,,,,,,Cadastrado,23/06/2024,PA2018-1227,https://pergamum.anac.gov.br/arquivos/PA2018-1227.pdf,-4.568611111,-37.804722222
SBVT,ES0001,Eurico de Aguiar Salles,VITÓRIA,Espírito Santo,Vitória,Espírito Santo,"20°15'29.0S""","040°17'11.0W""",3,VFR / IFR - CAT I,VFR / IFR - CAT I,02/20,2058,45,86/F/B/X/T,Asfalto,06/24,1750,45,45/F/B/X/T,Asfalto,Cadastrado,,PA2014-1002,https://pergamum.anac.gov.br/arquivos/PA2014-1002.pdf,-20.258055556,-40.286388889
SBSL,MA0001,Marechal Cunha Machado Internacional,SÃO LUÍS,Maranhão,São Luís,Maranhão,"02°35'13.0S""","044°14'10.0W""",54,VFR / IFR - CAT I,VFR / IFR - CAT I,06/24,2385,45,52/F/B/X/T,Asfalto,09/27,1464,45,39/F/B/X/T,Asfalto,Cadastrado,21/08/2025,PA2015-2239,https://pergamum.anac.gov.br/arquivos/PA2015-2239.pdf,-2.586944444,-44.236111111
SBZM,MG0006,Presidente Itamar Franco,GOIANÁ,Minas Gerais,Goianá,Minas Gerais,"21°30'47.0S""","043°10'23.0W""",412,VFR / IFR Não Precisão,IFR Não Precisão,08/26,2525,45,66/F/B/X/T,Asfalto,,,,,,Cadastrado,21/09/2021,PA2017-2564,https://pergamum.anac.gov.br/arquivos/PA2017-2564.pdf,-21.513055556,-43.173055556
SBAT,MT0003,Aeroporto Piloto Osvaldo Marques Dias,ALTA FLORESTA,Mato Grosso,Alta Floresta,Mato Grosso,"09°51'59.0S""","056°06'18.0W""",289,VFR / IFR Não Precisão,VFR / IFR Não Precisão,04/22,2500,30,29/F/C/X/U,Asfalto,,,,,,Cadastrado,31/01/2021,PA2011-0162,https://pergamum.anac.gov.br/arquivos/PA2011-0162.pdf,-9.866388889,-56.105
SBTD,PR0008,Luiz Dalcanale Filho,TOLEDO,Paraná,Toledo,Paraná,"24°41'07.0S""","053°41'47.0W""",562,VFR / IFR Não Precisão,VFR / IFR Não Precisão,02/20,1670,30,33/F/C/X/U,Asfalto,,,,,,Cadastrado,05/12/2028,PA2018-3681,https://pergamum.anac.gov.br/arquivos/PA2018-3681.pdf,-24.685277778,-53.696388889
SWPM,RO0009,Pimenta Bueno,PIMENTA BUENO,Rondônia,Pimenta Bueno,Rondônia,"11°38'30.0S""","061°10'52.0W""",208,VFR,VFR,04/22,1300,20,12/F/C/Y/U,Asfalto,,,,,,Cadastrado,25/09/2024,PA2014-2262,https://pergamum.anac.gov.br/arquivos/PA2014-2262.pdf,-11.641666667,-61.181111111
SNAX,SP0016,Marcelo Pires Halzhausen,ASSIS,São Paulo,Assis,São Paulo,"22°38'24.0S""","050°27'11.0W""",564,VFR,VFR,12/30,1689,30,25/F/C/Y/U,Asfalto,,,,,,Cadastrado,02/03/2026,PA2016-0460,https://pergamum.anac.gov.br/arquivos/PA2016-0460.pdf,-22.64,-50.453055556
SBBU,SP0017,Bauru,BAURU,São Paulo,Bauru,São Paulo,"22°20'37.0S""","049°03'14.0W""",617,VFR / IFR Não Precisão,VFR / IFR Não Precisão,14/32,1501,35,13/F/A/X/T,Asfalto,,,,,,Cadastrado,13/12/2027,PA2017-3676,https://pergamum.anac.gov.br/arquivos/PA2017-3676.pdf,-22.343611111,-49.053888889
SDDR,SP0021,Dracena,DRACENA,São Paulo,Dracena,São Paulo,"21°27'38.0S""","051°36'25.0W""",372,VFR,VFR,09/27,1500,30,14/F/A/X/T,Asfalto,,,,,,Cadastrado,11/04/2024,PA2014-0904,https://pergamum.anac.gov.br/arquivos/PA2014-0904.pdf,-21.460555556,-51.606944444
SBJD,SP0031,Comandante Rolim Adolfo Amaro,JUNDIAÍ,São Paulo,Jundiaí,São Paulo,"23°10'54.0S""","046°56'37.0W""",753,VFR / IFR Não Precisão,VFR / IFR Não Precisão,18/36,1400,30,21/F/A/X/T,Asfalto,,,,,,Cadastrado,14/12/2028,PA2018-3807,https://pergamum.anac.gov.br/arquivos/PA2018-3807.pdf,-23.181666667,-46.943611111
SNFU,MG0063,Frutal,FRUTAL,Minas Gerais,Frutal,Minas Gerais,"20°00'17.0S""","048°57'32.0W""",549,VFR,Sem Operação,07/25,1320,30,15/F/C/Y/T,Asfalto,,,,,,Cadastrado,12/03/2030,PA2020-0681,https://pergamum.anac.gov.br/arquivos/PA2020-0681.pdf,-20.004722222,-48.958888889
SBCZ,AC0002,Cruzeiro do Sul / Cruzeiro do Sul - Internacional,CRUZEIRO DO SUL,Acre,Cruzeiro do Sul,Acre,"07°35'58.0S""","072°46'10.0W""",194,VFR / IFR Não Precisão,VFR / IFR Não Precisão,10/28,2400,45,32/F/A/X/T,Asfalto,,,,,,Cadastrado,19/03/2024,PA2014-0630,https://pergamum.anac.gov.br/arquivos/PA2014-0630.pdf,-7.599444444,-72.769444444
SBFI,PR0002,Cataratas,FOZ DO IGUAÇU,Paraná,Foz do Iguaçu,Paraná,"25°36'01.0S""","054°29'06.0W""",240,VFR / IFR - CAT I,VFR / IFR - CAT I,15/33,2195,45,51/F/B/X/T,Asfalto,,,,,,Cadastrado,21/05/2024,PA2014-1182,https://pergamum.anac.gov.br/arquivos/PA2014-1182.pdf,-25.600277778,-54.485
SBTF,AM0004,Tefé,TEFÉ,Amazonas,Tefé,Amazonas,"03°22'49.0S""","064°43'31.0W""",57,VFR / IFR Não Precisão,VFR / IFR Não Precisão,15/33,2200,45,29/F/C/X/U,Asfalto,,,,,,Cadastrado,13/11/2027,PA2017-3681,https://pergamum.anac.gov.br/arquivos/PA2017-3681.pdf,-3.380277778,-64.725277778
SWPI,AM0006,Parintins,PARINTINS,Amazonas,Parintins,Amazonas,"02°40'10.0S""","056°46'16.0W""",26,VFR,VFR,06/24,1800,30,33/F/B/X/T,Asfalto,,,,,,Cadastrado,30/07/2025,PA2015-2014,https://pergamum.anac.gov.br/arquivos/PA2015-2014.pdf,-2.669444444,-56.771111111
SBJU,CE0002,Orlando Bezerra Menezes,JUAZEIRO DO NORTE,Ceará,Juazeiro do Norte,Ceará,"07°13'09.0S""","039°16'10.0W""",409,VFR / IFR Não Precisão,VFR / IFR Não Precisão,13/31,1940,45,45/F/A/X/T,Asfalto,,,,,,Cadastrado,07/03/2029,PA2019-0624,https://pergamum.anac.gov.br/arquivos/PA2019-0624.pdf,-7.219166667,-39.269444444
SBMK,MG0004,Aeródromo Público Mário Ribeiro,MONTES CLAROS,Minas Gerais,Montes Claros,Minas Gerais,"16°42'22.0S""","043°49'19.0W""",668,VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,2100,45,34/F/B/X/T,Asfalto,,,,,,Cadastrado,29/07/2024,PA2014-1719,https://pergamum.anac.gov.br/arquivos/PA2014-1719.pdf,-16.706111111,-43.821944444
SBAX,MG0008,Romeu Zema,ARAXÁ,Minas Gerais,Araxá,Minas Gerais,"19°33'38.0S""","046°57'56.0W""",999,VFR / IFR Não Precisão,VFR / IFR Não Precisão,16/34,1900,30,26/F/B/X/T,Asfalto,,,,,,Cadastrado,06/07/2027,PA2017-3046,https://pergamum.anac.gov.br/arquivos/PA2017-3046.pdf,-19.560555556,-46.965555556
SNOS,MG0024,José Figueiredo,PASSOS,Minas Gerais,Passos,Minas Gerais,"20°44'00.0S""","046°39'35.0W""",822,VFR,VFR,14/32,1500,30,19/F/A/Y/T,Asfalto,,,,,,Cadastrado,15/10/2023,PA2013-2698,https://pergamum.anac.gov.br/arquivos/PA2013-2698.pdf,-20.733333333,-46.659722222
SBCG,MS0001,Campo Grande Internacional,CAMPO GRANDE,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,"20°28'10.0S""","054°40'13.0W""",559,VFR / IFR - CAT I,VFR / IFR - CAT I,06/24,2600,45,48/F/B/X/T,Asfalto,,,,,,Cadastrado,22/07/2026,PA2016-1884,https://pergamum.anac.gov.br/arquivos/PA2016-1884.pdf,-20.469444444,-54.670277778
SBRD,MT0004,Rondonópolis,RONDONÓPOLIS,Mato Grosso,Rondonópolis,Mato Grosso,"16°35'17.0S""","054°43'18.0W""",447,VFR / IFR Não Precisão,VFR / IFR Não Precisão,02/20,1850,30,28/F/B/X/T,Asfalto,,,,,,Cadastrado,10/10/2028,PA2018-3190,https://pergamum.anac.gov.br/arquivos/PA2018-3190.pdf,-16.588055556,-54.721666667
SNHS,PE0005,Santa Magalhães,SERRA TALHADA,Pernambuco,Serra Talhada,Pernambuco,"08°03'41.0S""","038°19'43.0W""",470,VFR,VFR,13/31,1593,30,31/F/B/Y/T,Asfalto,,,,,,Cadastrado,06/07/2028,PA2018-2109,https://pergamum.anac.gov.br/arquivos/PA2018-2109.pdf,-8.061388889,-38.328611111
SNGN,PE0006,Garanhuns,GARANHUNS,Pernambuco,Garanhuns,Pernambuco,"08°50'04.0S""","036°28'17.0W""",772,VFR,VFR,16/34,1254,28,6/F/C/Y/T,Asfalto,,,,,,Interditado,07/05/2028,PA2018-1372,https://pergamum.anac.gov.br/arquivos/PA2018-1372.pdf,-8.834444444,-36.471388889
SNAE,PE0007,Arcoverde,ARCOVERDE,Pernambuco,Arcoverde,Pernambuco,"08°24'28.0S""","037°05'18.0W""",634,VFR,VFR,15/33,1300,28,6/F/B/Y/U,Asfalto,,,,,,Interditado,05/12/2028,PA2018-3679,https://pergamum.anac.gov.br/arquivos/PA2018-3679.pdf,-8.407777778,-37.088333333
SBME,RJ0004,Macaé,MACAÉ,Rio de Janeiro,Macaé,Rio de Janeiro,"22°20'34.0S""","041°45'50.0W""",2,VFR / IFR Não Precisão,VFR / IFR Não Precisão,06/24,1200,30,19/F/C/W/T,Asfalto,,,,,,Cadastrado,26/12/2019,PA2019-3922,https://pergamum.anac.gov.br/arquivos/PA2019-3922.pdf,-22.342777778,-41.763888889
SDPN,SP0024,Aeroporto Estadual Dr. Ramalho Franco,PENÁPOLIS,São Paulo,Penápolis,São Paulo,"21°24'37.0S""","050°01'55.0W""",418,VFR,VFR,15/33,1500,30,27/F/A/X/T,Asfalto,,,,,,Cadastrado,29/01/2024,PA2014-0233,https://pergamum.anac.gov.br/arquivos/PA2014-0233.pdf,-21.410277778,-50.031944444
SDJV,SP0035,Municipal de São João da Boa Vista,SÃO JOÃO DA BOA VISTA,São Paulo,São João da Boa Vista,São Paulo,"22°01'00.0S""","046°50'26.0W""",762,VFR,VFR,04/22,1250,30,20/F/B/Y/T,Asfalto,,,,,,Cadastrado,15/10/2023,PA2016-1715,https://pergamum.anac.gov.br/arquivos/PA2016-1715.pdf,-22.016666667,-46.840555556
SDNO,SP0061,Nelson Garófalo,SÃO MANUEL,São Paulo,São Manuel,São Paulo,"22°41'46.0S""","048°34'34.0W""",730,VFR,VFR,14/32,1000,20,13/F/C/Y/U,Asfalto,,,,,,Cadastrado,07/05/2028,PA2018-1381,https://pergamum.anac.gov.br/arquivos/PA2018-1381.pdf,-22.696111111,-48.576111111
