Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	Latitude	Longitude	LatitudeRaiz	Lat Raiz	Lat 60	Lat 3600	LongitudeRaiz	Lon Raiz	Lon 60	Lon 3600	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria
SNAB	PE0009	Araripina	ARARIPINA	Pernambuco	Araripina	Pernambuco	-7.586388889	-40.535277778	07°35'11.0S"	7.000000000	0.583333333	0.003055556	040°32'07.0W"	40.000000000	0.533333333	0.001944444	669	VFR	Sem Operação	13/31	1247	26	4/F/A/X/T	Asfalto						Cadastrado	16/10/2028	PA2018-3128	https://pergamum.anac.gov.br/arquivos/PA2018-3128.pdf
SDLL	SP0048	Yolanda Penteado	LEME	São Paulo	Leme	São Paulo	-22.226944444	-47.382222222	22°13'37.0S"	22.000000000	0.216666667	0.010277778	047°22'56.0W"	47.000000000	0.366666667	0.015555556	617	VFR	Sem Operação	08/26	1150	18	7/F/B/X/U	Asfalto						Cadastrado			
SNMR	BA0065	Maraú	MARAÚ	Bahia	Maraú	Bahia	-14.117222222	-38.983888889	14°07'02.0S"	14.000000000	0.116666667	0.000555556	038°59'02.0W"	38.000000000	0.983333333	0.000555556	20	VFR	Sem Operação	12/30	800	30	5000 Kg / 0.50 MPa	Areia						Interditado			
SNFO	MG0060	Formiga	FORMIGA	Minas Gerais	Formiga	Minas Gerais	-20.395277778	-45.486666667	20°23'43.0S"	20.000000000	0.383333333	0.011944444	045°29'12.0W"	45.000000000	0.483333333	0.003333333	1017	VFR		02/20	1030	23	8/F/C/Y/U	Cascalho						Cadastrado	18/01/2026	PA2016-0079	https://pergamum.anac.gov.br/arquivos/PA2016-0079.pdf
SWKQ	PI0004	Serra da Capivara/São Raimundo Nonato	SÃO RAIMUNDO NONATO	Piauí	São Raimundo Nonato	Piauí	-9.082777778	-42.644444444	09°04'58.0S"	9.000000000	0.066666667	0.016111111	042°38'40.0W"	42.000000000	0.633333333	0.011111111	415	VFR	VFR	16/34	1650	45	34/F/B/X/T	Asfalto						Cadastrado	05/08/2025	PA2015-2098	https://pergamum.anac.gov.br/arquivos/PA2015-2098.pdf
SBMS	RN0002	Aeroporto Dix-Sept Rosado	MOSSORÓ	Rio Grande do Norte	Mossoró	Rio Grande do Norte	-5.195833333	-37.361666667	05°11'45.0S"	5.000000000	0.183333333	0.012500000	037°21'42.0W"	37.000000000	0.350000000	0.011666667	23	VFR / IFR Não Precisão	VFR / IFR Não Precisão	05/23	2000	30	31/F/B/X/T	Asfalto						Cadastrado	31/01/2021	PA2011-0163	https://pergamum.anac.gov.br/arquivos/PA2011-0163.pdf
SBRP	SP0004	Leite Lopes	RIBEIRÃO PRETO	São Paulo	Ribeirão Preto	São Paulo	-21.136388889	-47.776666667	21°08'11.0S"	21.000000000	0.133333333	0.003055556	047°46'36.0W"	47.000000000	0.766666667	0.010000000	550			18/36	2100	45	26/F/B/X/T	Asfalto						Cadastrado		PD1991-0240	https://pergamum.anac.gov.br/arquivos/PD1991-0240.pdf
SNUI	MG0045	Araçuaí	ARAÇUAÍ	Minas Gerais	Araçuaí	Minas Gerais	-16.851944444	-42.046111111	16°51'07.0S"	16.000000000	0.850000000	0.001944444	042°02'46.0W"	42.000000000	0.033333333	0.012777778	360	VFR	Sem Operação	09/27	1200	30	10/F/B/Y/T	Asfalto						Cadastrado		PD1983-0173	https://pergamum.anac.gov.br/arquivos/PD1983-0173.pdf
SDXF	GO0020	Alto Paraíso de Goiás	ALTO PARAÍSO DE GOIÁS	Goiás	Alto Paraíso de Goiás	Goiás	-14.119166667	-47.530277778	14°07'09.0S"	14.000000000	0.116666667	0.002500000	047°31'49.0W"	47.000000000	0.516666667	0.013611111	1345	VFR		09/27	1080	30	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	07/05/2028	PA2018-1383	https://pergamum.anac.gov.br/arquivos/PA2018-1383.pdf
SDLC	SP0039	Lucélia	LUCÉLIA	São Paulo	Lucélia	São Paulo	-21.749444444	-51.018333333	21°44'58.0S"	21.000000000	0.733333333	0.016111111	051°01'06.0W"	51.000000000	0.016666667	0.001666667	450	VFR	Sem Operação	09/27	1032	36	5600 Kg / 0.62 MPa	Grama						Cadastrado	09/04/2030	PA2020-0971	https://pergamum.anac.gov.br/arquivos/PA2020-0971.pdf
SSER	RS0018	Erechim	ERECHIM	Rio Grande do Sul	Erechim	Rio Grande do Sul	-27.660000000	-52.276111111	27°39'36.0S"	27.000000000	0.650000000	0.010000000	052°16'34.0W"	52.000000000	0.266666667	0.009444444	761	VFR	VFR	14/32	1280	30	11/F/B/X/U	Asfalto						Cadastrado	13/08/2028	PA2018-2449	https://pergamum.anac.gov.br/arquivos/PA2018-2449.pdf
SSJI	MS0019	Jardim	JARDIM	Mato Grosso do Sul	Jardim	Mato Grosso do Sul	-21.492777778	-56.152777778	21°29'34.0S"	21.000000000	0.483333333	0.009444444	056°09'10.0W"	56.000000000	0.150000000	0.002777778	321	VFR	Sem Operação	18/36	950	18	8/F/C/Y/U	Asfalto						Cadastrado		PD1999-0246	https://pergamum.anac.gov.br/arquivos/PD1999-0246.pdf
SWIQ	GO0019	Minaçu	MINAÇU	Goiás	Minaçu	Goiás	-13.550555556	-48.200555556	13°33'02.0S"	13.000000000	0.550000000	0.000555556	048°12'02.0W"	48.000000000	0.200000000	0.000555556	427	VFR / IFR Não Precisão	VFR	05/23	1275	30	7/F/C/Y/U	Asfalto						Cadastrado		PA2011-2418	https://pergamum.anac.gov.br/arquivos/PA2011-2418.pdf
SNGG	PI0007	Bom Jesus do Gurguéia	BOM JESUS	Piauí	Bom Jesus	Piauí	-9.059444444	-44.369166667	09°03'34.0S"	9.000000000	0.050000000	0.009444444	044°22'09.0W"	44.000000000	0.366666667	0.002500000	338	VFR	Sem Operação	16/34	1200	20	9/F/C/Y/U	Asfalto						Cadastrado	23/04/2030	PA2020-1085	https://pergamum.anac.gov.br/arquivos/PA2020-1085.pdf
SWTO	TO0008	Paraíso do Tocantins	PARAÍSO DO TOCANTINS	Tocantins	Paraíso do Tocantins	Tocantins	-10.173888889	-48.932777778	10°10'26.0S"	10.000000000	0.166666667	0.007222222	048°55'58.0W"	48.000000000	0.916666667	0.016111111	353	VFR	Sem Operação	10/28	1200	30	20/F/C/X/U	Asfalto						Cadastrado	20/05/2030	PA2020-1298	https://pergamum.anac.gov.br/arquivos/PA2020-1298.pdf
SSEE	RS0054	Regional do Vale do Taquari	ESTRELA	Rio Grande do Sul	Estrela	Rio Grande do Sul	-29.453333333	-51.934166667	29°27'12.0S"	29.000000000	0.450000000	0.003333333	051°56'03.0W"	51.000000000	0.933333333	0.000833333	32	VFR	Sem Operação	06/24	570	18	4000 Kg / 0.50 MPa	Grama						Cadastrado	05/09/2027	PA2017-3024	https://pergamum.anac.gov.br/arquivos/PA2017-3024.pdf
SNSM	PA0029	Salinópolis	SALINÓPOLIS	Pará	Salinópolis	Pará	-0.696944444	-47.337777778	00°41'49.0S"	0.000000000	0.683333333	0.013611111	047°20'16.0W"	47.000000000	0.333333333	0.004444444	27	VFR	Sem Operação	09/27	1000	25	5700 Kg / 0.50 MPa	Asfalto						Interditado		PD1999-0432	https://pergamum.anac.gov.br/arquivos/PD1999-0432.pdf
SSRS	MA0008	Barreirinhas	BARREIRINHAS	Maranhão	Barreirinhas	Maranhão	-2.756666667	-42.804444444	02°45'24.0S"	2.000000000	0.750000000	0.006666667	042°48'16.0W"	42.000000000	0.800000000	0.004444444	4	VFR		11/29	1500	30	71/F/A/Y/T	Asfalto						Cadastrado	27/01/2024	PA2014-0211	https://pergamum.anac.gov.br/arquivos/PA2014-0211.pdf
SSJK	RS0028	Júlio de Castilhos	TUPANCIRETÃ	Rio Grande do Sul	Júlio de Castilhos	Rio Grande do Sul	-29.153055556	-53.743333333	29°09'11.0S"	29.000000000	0.150000000	0.003055556	053°44'36.0W"	53.000000000	0.733333333	0.010000000	498	VFR		12/30	1190	30	8/F/C/Y/U	Grama						Interditado	20/05/2030	PA2020-1301	https://pergamum.anac.gov.br/arquivos/PA2020-1301.pdf
SICB	PB0007	Pedro Simões Pimenta	CUITÉ	Paraíba	Cuité	Paraíba	-6.487500000	-36.140000000	06°29'15.0S"	6.000000000	0.483333333	0.004166667	036°08'24.0W"	36.000000000	0.133333333	0.006666667	652	VFR	Sem Operação	10/28	1150	30	5700 Kg / 0.50 MPa	Terra						Interditado		PD2001-1494	https://pergamum.anac.gov.br/arquivos/PD2001-1494.pdf
SNRM	BA0022	Remanso	REMANSO	Bahia	Remanso	Bahia	-9.580000000	-42.115833333	09°34'48.0S"	9.000000000	0.566666667	0.013333333	042°06'57.0W"	42.000000000	0.100000000	0.015833333	405	VFR		11/29	1350	30	8/F/C/Y/U	Asfalto						Cadastrado	26/02/2026	PA2016-0401	https://pergamum.anac.gov.br/arquivos/PA2016-0401.pdf
SDMJ	SP0022	Mogi Mirim	MOGI MIRIM	São Paulo	Moji Mirim	São Paulo	-22.410000000	-46.904722222	22°24'36.0S"	22.000000000	0.400000000	0.010000000	046°54'17.0W"	46.000000000	0.900000000	0.004722222	693	VFR	Sem Operação	12/30	1500	30	5600 Kg / 0.50 MPa	Terra						Cadastrado		PD1995-0484	https://pergamum.anac.gov.br/arquivos/PD1995-0484.pdf
SNKF	MG0071	Das Bandeirinhas	CONSELHEIRO LAFAIETE	Minas Gerais	Conselheiro Lafaiete	Minas Gerais	-20.738611111	-43.798055556	20°44'19.0S"	20.000000000	0.733333333	0.005277778	043°47'53.0W"	43.000000000	0.783333333	0.014722222	1057	VFR	Sem Operação	04/22	902	24	9/F/C/Y/U	Asfalto						Cadastrado	16/10/2028	PA2018-3126	https://pergamum.anac.gov.br/arquivos/PA2018-3126.pdf
SNUC	RN0003	Açu	AÇU	Rio Grande do Norte	Açu	Rio Grande do Norte	-5.595000000	-36.960833333	05°35'42.0S"	5.000000000	0.583333333	0.011666667	036°57'39.0W"	36.000000000	0.950000000	0.010833333	111	VFR	Sem Operação	11/29	1500	14	8/F/C/Y/U	Asfalto						Cadastrado	23/02/2026	PA2016-0351	https://pergamum.anac.gov.br/arquivos/PA2016-0351.pdf
SNSI	MG0076	Santa Maria do Suaçuí	JOSÉ RAYDAN	Minas Gerais	Santa Maria do Suaçuí	Minas Gerais	-18.198611111	-42.466111111	18°11'55.0S"	18.000000000	0.183333333	0.015277778	042°27'58.0W"	42.000000000	0.450000000	0.016111111	480	VFR	Sem Operação	03/21	800	35	2500 Kg / 0.50 MPa	Terra						Interditado			
SDPD	SP0072	Pindamonhangaba	PINDAMONHANGABA	São Paulo	Pindamonhangaba	São Paulo	-22.943888889	-45.431944444	22°56'38.0S"	22.000000000	0.933333333	0.010555556	045°25'55.0W"	45.000000000	0.416666667	0.015277778	574	VFR	Sem Operação	06/24	750	30	5600 Kg / 0.50 MPa	Terra						Cadastrado	18/09/2030	PA2020-2410	https://pergamum.anac.gov.br/arquivos/PA2020-2410.pdf
SJAU	TO0007	Araguacema	ARAGUACEMA	Tocantins	Araguacema	Tocantins	-8.837777778	-49.557777778	08°50'16.0S"	8.000000000	0.833333333	0.004444444	049°33'28.0W"	49.000000000	0.550000000	0.007777778	207	VFR	Sem Operação	12/30	1400	30	6/F/A/Y/T	Asfalto						Interditado		PD2004-0057	https://pergamum.anac.gov.br/arquivos/PD2004-0057.pdf
SDEP	SP0052	Geraldo Moacir Bordon	PRESIDENTE EPITÁCIO	São Paulo	Presidente Epitácio	São Paulo	-21.775555556	-52.163055556	21°46'32.0S"	21.000000000	0.766666667	0.008888889	052°09'47.0W"	52.000000000	0.150000000	0.013055556	297	VFR	Sem Operação	05/23	1010	18	8/F/C/Y/U	Asfalto						Cadastrado		PD1994-0545	https://pergamum.anac.gov.br/arquivos/PD1994-0545.pdf
SDTP	SP0025	José Vicente Faria Lima	TUPÃ	São Paulo	Tupã	São Paulo	-21.890000000	-50.505833333	21°53'24.0S"	21.000000000	0.883333333	0.006666667	050°30'21.0W"	50.000000000	0.500000000	0.005833333	550	VFR	VFR	06/24	1500	35	33/F/B/X/T	Asfalto						Cadastrado	02/02/2028	PA2018-0305	https://pergamum.anac.gov.br/arquivos/PA2018-0305.pdf
SJNP	PA0026	Novo Progresso	NOVO PROGRESSO	Pará	Novo Progresso	Pará	-7.125833333	-55.400833333	07°07'33.0S"	7.000000000	0.116666667	0.009166667	055°24'03.0W"	55.000000000	0.400000000	0.000833333	231	VFR		17/35	1200	24	5700 Kg / 0.50 MPa	Piçarra						Cadastrado			
SBEK	PA0011	Jacareacanga	JACAREACANGA	Pará	Jacareacanga	Pará	-6.235277778	-57.775833333	06°14'07.0S"	6.000000000	0.233333333	0.001944444	057°46'33.0W"	57.000000000	0.766666667	0.009166667	99	VFR / IFR Não Precisão		08/26	1600	30	36/F/B/Y/U	Asfalto						Cadastrado		PD1984-0200	https://pergamum.anac.gov.br/arquivos/PD1984-0200.pdf
SSVL	PR0007	Telêmaco Borba	TELÊMACO BORBA	Paraná	Telêmaco Borba	Paraná	-24.316388889	-50.652222222	24°18'59.0S"	24.000000000	0.300000000	0.016388889	050°39'08.0W"	50.000000000	0.650000000	0.002222222	796	VFR	Sem Operação	02/20	1800	30	24/F/B/X/T	Asfalto						Cadastrado	12/12/2029	PA2019-3818	https://pergamum.anac.gov.br/arquivos/PA2019-3818.pdf
SWME	GO0033	Mineiros	MINEIROS	Goiás	Mineiros	Goiás	-17.551944444	-52.556111111	17°33'07.0S"	17.000000000	0.550000000	0.001944444	052°33'22.0W"	52.000000000	0.550000000	0.006111111	825	VFR	Sem Operação	18/36	1000	18	8/F/C/Y/U	Asfalto						Cadastrado			
SSVN	RS0030	Veranópolis	VERANÓPOLIS	Rio Grande do Sul	Veranópolis	Rio Grande do Sul	-28.935555556	-51.567777778	28°56'08.0S"	28.000000000	0.933333333	0.002222222	051°34'04.0W"	51.000000000	0.566666667	0.001111111	676	VFR	Sem Operação	12/30	1000	18	3700 Kg / 0.50 MPa	Saibro						Cadastrado	14/09/2028	PA2018-2841	https://pergamum.anac.gov.br/arquivos/PA2018-2841.pdf
SSNB	MS0015	Ariosto da Riva	NAVIRAÍ	Mato Grosso do Sul	Naviraí	Mato Grosso do Sul	-23.041388889	-54.185000000	23°02'29.0S"	23.000000000	0.033333333	0.008055556	054°11'06.0W"	54.000000000	0.183333333	0.001666667	405	VFR	Sem Operação	09/27	1200	23	10/F/B/Y/T	Asfalto						Cadastrado		PD1997-0377	https://pergamum.anac.gov.br/arquivos/PD1997-0377.pdf
SNPQ	PE0010	Pesqueira	PESQUEIRA	Pernambuco	Pesqueira	Pernambuco	-8.374166667	-36.637777778	08°22'27.0S"	8.000000000	0.366666667	0.007500000	036°38'16.0W"	36.000000000	0.633333333	0.004444444	630	VFR	Sem Operação	10/28	1000	20	8/F/C/Y/U	Terra						Interditado	17/04/2027	PA2017-1243	https://pergamum.anac.gov.br/arquivos/PA2017-1243.pdf
SBTC	BA0067	Hotel Transamérica	UNA	Bahia			-15.353333333	-38.997222222	15°21'12.0S"	15.000000000	0.350000000	0.003333333	038°59'50.0W"	38.000000000	0.983333333	0.013888889	7	VFR / IFR Não Precisão	VFR / IFR Não Precisão	02/20	2000	30	40/F/C/X/T	Asfalto						Cadastrado	26/02/2031	PA2021-4337	https://pergamum.anac.gov.br/arquivos/PA2021-4337.pdf
SBNV	GO0002	Aeródromo Nacional de Aviação	GOIÂNIA	Goiás	Goiânia	Goiás	-16.625555556	-49.349444444	16°37'32.0S"	16.000000000	0.616666667	0.008888889	049°20'58.0W"	49.000000000	0.333333333	0.016111111	831	VFR	Sem Operação	14/32	1100	20	5700 Kg / 0.50 MPa	Asfalto						Cadastrado	21/02/2029	PA2019-0537	https://pergamum.anac.gov.br/arquivos/PA2019-0537.pdf
SDTB	SP0069	Atibaia	ATIBAIA	São Paulo	Atibaia	São Paulo	-23.128333333	-46.574722222	23°07'42.0S"	23.000000000	0.116666667	0.011666667	046°34'29.0W"	46.000000000	0.566666667	0.008055556	797	VFR		02/20	800	30	5000 Kg / 0.50 MPa	Terra						Cadastrado	13/05/2024	PA2014-1106	https://pergamum.anac.gov.br/arquivos/PA2014-1106.pdf
SWOB	AM0014	Fonte Boa	FONTE BOA	Amazonas	Fonte Boa	Amazonas	-2.533611111	-66.067222222	02°32'01.0S"	2.000000000	0.533333333	0.000277778	066°04'02.0W"	66.000000000	0.066666667	0.000555556	63	VFR	Sem Operação	18/36	1270	27	6/F/C/Y/U	Asfalto						Interditado			
SBSM	RS0003	Santa Maria	SANTA MARIA	Rio Grande do Sul	Santa Maria	Rio Grande do Sul	-29.710833333	-53.692222222	29°42'39.0S"	29.000000000	0.700000000	0.010833333	053°41'32.0W"	53.000000000	0.683333333	0.008888889	88			11/29	2700	45	20/R/B/X/T	Concreto	02/20	1400	30	10/F/C/Y/U	Asfalto	Cadastrado		PD1981-0204	https://pergamum.anac.gov.br/arquivos/PD1981-0204.pdf
SDAE	SP0053	São Pedro	SÃO PEDRO	São Paulo	São Pedro	São Paulo	-22.583611111	-47.896111111	22°35'01.0S"	22.000000000	0.583333333	0.000277778	047°53'46.0W"	47.000000000	0.883333333	0.012777778	566	VFR	Sem Operação	14/32	1000	25	5600 Kg / 0.50 MPa	Terra						Cadastrado	17/04/2030	PA2020-1021	https://pergamum.anac.gov.br/arquivos/PA2020-1021.pdf
SSNP	RS0041	Nova Prata	NOVA PRATA	Rio Grande do Sul	Nova Prata	Rio Grande do Sul	-28.802500000	-51.604166667	28°48'09.0S"	28.000000000	0.800000000	0.002500000	051°36'15.0W"	51.000000000	0.600000000	0.004166667	690	VFR	Sem Operação	13/31	1000	30	5/F/B/Y/U	Terra						Cadastrado		PD1985-0068COMAR	https://pergamum.anac.gov.br/arquivos/PD1985-0068COMAR.pdf
SWPG	MT0010	Porto dos Gaúchos	NOVO HORIZONTE DO NORTE	Mato Grosso	Porto dos Gaúchos	Mato Grosso	-11.516944444	-57.333888889	11°31'01.0S"	11.000000000	0.516666667	0.000277778	057°20'02.0W"	57.000000000	0.333333333	0.000555556	400	VFR	Sem Operação	01/19	1500	60	13/F/C/Y/U	Terra						Interditado			
SNIU	BA0030	Ipiaú	IPIAÚ	Bahia	Ipiaú	Bahia	-14.173333333	-39.684166667	14°10'24.0S"	14.000000000	0.166666667	0.006666667	039°41'03.0W"	39.000000000	0.683333333	0.000833333	132	VFR		15/33	1300	20	6/F/C/Z/U	Asfalto						Cadastrado	08/10/2024	PA2014-2365	https://pergamum.anac.gov.br/arquivos/PA2014-2365.pdf
SDLK	BA0040	Caculé	CACULÉ	Bahia	Caculé	Bahia	-14.481111111	-42.264722222	14°28'52.0S"	14.000000000	0.466666667	0.014444444	042°15'53.0W"	42.000000000	0.250000000	0.014722222	662	VFR	Sem Operação	13/31	1200	20	8/F/B/Y/U	Asfalto						Cadastrado	05/02/2026	PA2016-0240	https://pergamum.anac.gov.br/arquivos/PA2016-0240.pdf
SBCH	SC0003	Serafin Enoss Bertaso	CHAPECÓ	Santa Catarina	Chapecó	Santa Catarina	-27.133888889	-52.661944444	27°08'02.0S"	27.000000000	0.133333333	0.000555556	052°39'43.0W"	52.000000000	0.650000000	0.011944444	654	VFR / IFR Não Precisão	VFR / IFR Não Precisão	11/29	2063	45	45/F/B/X/T	Asfalto						Cadastrado		PA2012-1357	https://pergamum.anac.gov.br/arquivos/PA2012-1357.pdf
SDAG	RJ0010	Angra Dos Reis	ANGRA DOS REIS	Rio de Janeiro	Angra dos Reis	Rio de Janeiro	-22.975277778	-44.307222222	22°58'31.0S"	22.000000000	0.966666667	0.008611111	044°18'26.0W"	44.000000000	0.300000000	0.007222222	3	VFR	Sem Operação	10/28	913	30	14/F/B/Y/T	Asfalto						Cadastrado	14/09/2028	PA2018-2842	https://pergamum.anac.gov.br/arquivos/PA2018-2842.pdf
SWBR	AM0018	Borba	BORBA	Amazonas	Borba	Amazonas	-4.408611111	-59.597777778	04°24'31.0S"	4.000000000	0.400000000	0.008611111	059°35'52.0W"	59.000000000	0.583333333	0.014444444	90	VFR	Sem Operação	12/30	1200	30	8/F/C/Y/U	Asfalto						Cadastrado			
SBMO	AL0001	Zumbi dos Palmares	MACEIÓ	Alagoas	Maceió	Alagoas	-9.517222222	-35.783611111	09°31'02.0S"	9.000000000	0.516666667	0.000555556	035°47'01.0W"	35.000000000	0.783333333	0.000277778	118	VFR / IFR - CAT I	VFR / IFR - CAT I	12/30	2602	45	46/F/A/X/T	Asfalto						Cadastrado		PD2006-0362	https://pergamum.anac.gov.br/arquivos/PD2006-0362.pdf
SNMA	PA0019	Monte Alegre	MONTE ALEGRE	Pará	Monte Alegre	Pará	-1.996666667	-54.071388889	01°59'48.0S"	1.000000000	0.983333333	0.013333333	054°04'17.0W"	54.000000000	0.066666667	0.004722222	99	VFR	Sem Operação	10/28	1425	30	9/F/C/Y/U	Asfalto						Cadastrado		PD1973-0043	https://pergamum.anac.gov.br/arquivos/PD1973-0043.pdf
SNKK	RN0005	Caicó	CAICÓ	Rio Grande do Norte	Caicó	Rio Grande do Norte	-6.439166667	-37.078055556	06°26'21.0S"	6.000000000	0.433333333	0.005833333	037°04'41.0W"	37.000000000	0.066666667	0.011388889	182	VFR		14/32	980	30	12/F/B/Y/U	Asfalto						Cadastrado	24/09/2025	PA2015-2499	https://pergamum.anac.gov.br/arquivos/PA2015-2499.pdf
