Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	Latitude	Longitude	LatitudeRaiz	Lat Raiz	Lat 60	Lat 3600	LongitudeRaiz	Lon Raiz	Lon 60	Lon 3600	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria
SNQD	PB0006	Sousa	SOUSA	Paraíba	Sousa	Paraíba	-6.785555556	-38.233888889	06°47'08.0S"	6.000000000	0.783333333	0.002222222	038°14'02.0W"	38.000000000	0.233333333	0.000555556	272	VFR	Sem Operação	15/33	1075	30	13/F/A/Y/U	Asfalto						Cadastrado	05/06/2028	PA2018-1693	https://pergamum.anac.gov.br/arquivos/PA2018-1693.pdf
SSST	RS0015	Santiago	SANTIAGO	Rio Grande do Sul	Santiago	Rio Grande do Sul	-29.215000000	-54.842222222	29°12'54.0S"	29.000000000	0.200000000	0.015000000	054°50'32.0W"	54.000000000	0.833333333	0.008888889	445	VFR	Sem Operação	17/35	1340	60	8/F/C/Y/U	Terra						Cadastrado			
SSKS	RS0039	Brigadeiro Nero Moura	CACHOEIRA DO SUL	Rio Grande do Sul	Cachoeira do Sul	Rio Grande do Sul	-30.002222222	-52.940277778	30°00'08.0S"	30.000000000	0.000000000	0.002222222	052°56'25.0W"	52.000000000	0.933333333	0.006944444	77	VFR	Sem Operação	12/30	1020	18	10/F/B/X/T	Asfalto						Cadastrado	23/12/2030	PA2020-3744	https://pergamum.anac.gov.br/arquivos/PA2020-3744.pdf
SSEZ	RS0050	Espumoso	ESPUMOSO	Rio Grande do Sul	Espumoso	Rio Grande do Sul	-28.738055556	-52.855555556	28°44'17.0S"	28.000000000	0.733333333	0.004722222	052°51'20.0W"	52.000000000	0.850000000	0.005555556	390	VFR		08/26	720	18	2000 Kg / 0.50 MPa	Grama						Cadastrado	24/10/2028	PA2018-3262	https://pergamum.anac.gov.br/arquivos/PA2018-3262.pdf
SBUG	RS0012	Rubem Berta	URUGUAIANA	Rio Grande do Sul	Uruguaiana	Rio Grande do Sul	-29.783333333	-57.036944444	29°47'00.0S"	29.000000000	0.783333333	0.000000000	057°02'13.0W"	57.000000000	0.033333333	0.003611111	78	VFR / IFR Não Precisão	VFR / IFR Não Precisão	09/27	1500	30	18/F/C/Y/T	Asfalto						Cadastrado	13/02/2025	PA2015-0388	https://pergamum.anac.gov.br/arquivos/PA2015-0388.pdf
SDBB	SP0018	Bebedouro	BEBEDOURO	São Paulo	Bebedouro	São Paulo	-20.900277778	-48.473611111	20°54'01.0S"	20.000000000	0.900000000	0.000277778	048°28'25.0W"	48.000000000	0.466666667	0.006944444	592	VFR		13/31	1500	23	15/F/A/X/T	Asfalto						Cadastrado	17/04/2024	PA2014-0924	https://pergamum.anac.gov.br/arquivos/PA2014-0924.pdf
SBJI	RO0005	Ji-Paraná	JI-PARANÁ	Rondônia	Ji-Paraná	Rondônia	-10.870555556	-61.846666667	10°52'14.0S"	10.000000000	0.866666667	0.003888889	061°50'48.0W"	61.000000000	0.833333333	0.013333333	182	VFR	VFR	03/21	1800	45	30/F/C/X/U	Asfalto						Cadastrado		PA2013-1452	https://pergamum.anac.gov.br/arquivos/PA2013-1452.pdf
SWTY	TO0009	Taguatinga	TAGUATINGA	Tocantins	Taguatinga	Tocantins	-12.433888889	-46.400555556	12°26'02.0S"	12.000000000	0.433333333	0.000555556	046°24'02.0W"	46.000000000	0.400000000	0.000555556	597	VFR	Sem Operação	05/23	1200	40	8/F/C/Y/U	Terra						Cadastrado		PD1952-0089	https://pergamum.anac.gov.br/arquivos/PD1952-0089.pdf
SWUD	MG0069	Deputado Oswaldo Tolentino	CLÁUDIO	Minas Gerais	Cláudio	Minas Gerais	-20.445833333	-44.812777778	20°26'45.0S"	20.000000000	0.433333333	0.012500000	044°48'46.0W"	44.000000000	0.800000000	0.012777778	820	VFR	Sem Operação	12/30	1000	30	15/F/B/Y/T	Asfalto						Cadastrado	27/05/2030	PA2020-1389	https://pergamum.anac.gov.br/arquivos/PA2020-1389.pdf
SDCO	SP0027	Sorocaba	SOROCABA	São Paulo	Sorocaba	São Paulo	-23.483055556	-47.486388889	23°28'59.0S"	23.000000000	0.466666667	0.016388889	047°29'11.0W"	47.000000000	0.483333333	0.003055556	633	VFR	VFR	18/36	1480	30	36/F/B/X/T	Asfalto						Cadastrado		PD2006-0287	https://pergamum.anac.gov.br/arquivos/PD2006-0287.pdf
