Código OACI;CIAD;Nome;Município;UF;Município Servido;UF Servido;Latitude;Longitude;LatitudeRaiz;LongitudeRaiz;Altitude;Operação Diurna;Operação Noturna;Designação 1;Comprimento 1;Largura 1;Resistência 1;Superfície 1;Designação 2;Comprimento 2;Largura 2;Resistência 2;Superfície 2;Situação;Validade do Registro;Portaria de Registro;Link Portaria
SDFD;SP0054;Coronel Aviador Carlos Orleans Guimarães;FERNANDÓPOLIS;São Paulo;Fernandópolis;São Paulo;-20276666667;-50213888889;"20°16'36.0S""";"050°12'50.0W""";500;VFR;Sem Operação;08/26;1000;25;16/F/A/X/T;Asfalto;;;;;;Cadastrado;02/05/2028;PA2018-1338;https://pergamum.anac.gov.br/arquivos/PA2018-1338.pdf
SNUB;MG0058;Ubá;UBÁ;Minas Gerais;Ubá;Minas Gerais;-21122500000;-42882222222;"21°07'21.0S""";"042°52'56.0W""";340;VFR;Sem Operação;16/34;1080;30;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1983-0189;https://pergamum.anac.gov.br/arquivos/PD1983-0189.pdf
SDNM;MT0047;Brigadeiro Eduardo Gomes;NOVA MUTUM;Mato Grosso;Nova Mutum;Mato Grosso;-13821111111;-56038611111;"13°49'16.0S""";"056°02'19.0W""";430;VFR;Sem Operação;05/23;1541;24;18/F/B/Y/U;Asfalto;;;;;;Cadastrado;01/10/2029;PA2019-3023;https://pergamum.anac.gov.br/arquivos/PA2019-3023.pdf
SSMT;RS0044;Mostardas;MOSTARDAS;Rio Grande do Sul;Mostardas;Rio Grande do Sul;-31104166667;-50912222222;"31°06'15.0S""";"050°54'44.0W""";18;VFR;Sem Operação;05/23;975;18;5700 Kg / 5.00 MPa;Asfalto;;;;;;Interditado;;PD1971-0009;https://pergamum.anac.gov.br/arquivos/PD1971-0009.pdf
SNYB;MG0047;Tito Teixeira;ITUIUTABA;Minas Gerais;Ituiutaba;Minas Gerais;-19001944444;-49487222222;"19°00'07.0S""";"049°29'14.0W""";605;VFR;Sem Operação;03/21;1200;30;8/F/B/X/U;Asfalto;;;;;;Cadastrado;;;
SBTU;PA0007;Tucuruí;TUCURUÍ;Pará;Tucuruí;Pará;-3776944444;-49719722222;"03°46'37.0S""";"049°43'11.0W""";253;VFR / IFR Não Precisão;VFR / IFR Não Precisão;02/20;2000;45;33/F/C/X/U;Asfalto;;;;;;Cadastrado;22/07/2026;PA2016-1885;https://pergamum.anac.gov.br/arquivos/PA2016-1885.pdf
SBUR;MG0009;Mario de Almeida Franco;UBERABA;Minas Gerais;Uberaba;Minas Gerais;-19764722222;-47966111111;"19°45'53.0S""";"047°57'58.0W""";809;VFR / IFR Não Precisão;VFR / IFR Não Precisão;17/35;1759;45;32/F/A/X/T;Asfalto;;;;;;Cadastrado;29/06/2025;PA2015-1597;https://pergamum.anac.gov.br/arquivos/PA2015-1597.pdf
SNFE;MG0012;Comandante Paschoal Patrocínio Filho;ALFENAS;Minas Gerais;Alfenas;Minas Gerais;-21431666667;-45933055556;"21°25'54.0S""";"045°55'59.0W""";875;VFR;VFR;04/22;1600;30;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1998-0177E;https://pergamum.anac.gov.br/arquivos/PD1998-0177E.pdf
SSUV;PR0034;José Cleto;UNIÃO DA VITÓRIA;Paraná;União da Vitória;Paraná;-26231666667;-51068888889;"26°13'54.0S""";"051°04'08.0W""";752;VFR;Sem Operação;16/34;1000;30;14/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1980-0014;https://pergamum.anac.gov.br/arquivos/PD1980-0014.pdf
SDGC;SP0055;Garça;GARÇA;São Paulo;Garça;São Paulo;-22183611111;-49656111111;"22°11'01.0S""";"049°39'22.0W""";664;VFR;Sem Operação;01/19;1000;30;8/F/C/Y/U;Terra;;;;;;Cadastrado;17/04/2030;PA2020-1027;https://pergamum.anac.gov.br/arquivos/PA2020-1027.pdf
SWTP;AM0022;Santa Izabel do Rio Negro;SANTA ISABEL DO RIO NEGRO;Amazonas;Santa Isabel do Rio Negro;Amazonas;-416944444;-65033888889;"00°25'01.0S""";"065°02'02.0W""";68;VFR;Sem Operação;09/27;1200;30;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;05/10/2021;PA2011-1908;https://pergamum.anac.gov.br/arquivos/PA2011-1908.pdf
SDAA;SP0045;Araras;ARARAS;São Paulo;Araras;São Paulo;-22336944444;-47358333333;"22°20'13.0S""";"047°21'30.0W""";685;VFR;Sem Operação;12/30;1150;30;6/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1995-0593;https://pergamum.anac.gov.br/arquivos/PD1995-0593.pdf
SNQX;CE0010;Quixadá;QUIXADÁ;Ceará;Quixadá;Ceará;-4978888889;-38987777778;"04°58'44.0S""";"038°59'16.0W""";225;VFR;Sem Operação;14/32;1200;30;17/F/A/X/T;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1076;https://pergamum.anac.gov.br/arquivos/PA2020-1076.pdf
SDUQ;SP0042;Paraguaçu Paulista;PARAGUAÇU PAULISTA;São Paulo;Paraguaçu Paulista;São Paulo;-22426944444;-50606944444;"22°25'37.0S""";"050°36'25.0W""";476;VFR;Sem Operação;05/23;1199;30;5600 Kg / 0.50 MPa;Terra;;;;;;Interditado;22/02/2021;PA2011-0330;https://pergamum.anac.gov.br/arquivos/PA2011-0330.pdf
SDRR;SP0028;Avaré-Arandu;AVARÉ;São Paulo;Avaré;São Paulo;-23093055556;-48984166667;"23°05'35.0S""";"048°59'03.0W""";810;VFR;VFR;15/33;1480;30;26/F/A/X/T;Asfalto;;;;;;Cadastrado;;PA2015-2649;https://pergamum.anac.gov.br/arquivos/PA2015-2649.pdf
SSBL;SC0019;Blumenau;BLUMENAU;Santa Catarina;Blumenau;Santa Catarina;-26832777778;-49093611111;"26°49'58.0S""";"049°05'37.0W""";18;VFR;Sem Operação;18/36;1080;30;17/F/C/Y/U;Asfalto;;;;;;Cadastrado;30/07/2028;PA2018-2330;https://pergamum.anac.gov.br/arquivos/PA2018-2330.pdf
SBCN;GO0003;Nelson Rodrigues Guimarães;CALDAS NOVAS;Goiás;Caldas Novas;Goiás;-17724722222;-48610000000;"17°43'29.0S""";"048°36'36.0W""";685;VFR / IFR Não Precisão;VFR / IFR Não Precisão;09/27;2100;30;35/F/A/X/T;Asfalto;;;;;;Cadastrado;;PA2007-1408;https://pergamum.anac.gov.br/arquivos/PA2007-1408.pdf
SNBS;MA0010;Balsas;BALSAS;Maranhão;Balsas;Maranhão;-7525277778;-46053333333;"07°31'31.0S""";"046°03'12.0W""";284;VFR;;15/33;1000;23;14/F/B/Y/U;Asfalto;;;;;;Cadastrado;01/09/2025;PA2015-2308;https://pergamum.anac.gov.br/arquivos/PA2015-2308.pdf
SWNK;AM0011;Novo Campo;BOCA DO ACRE;Amazonas;Boca do Acre;Amazonas;-8833611111;-67312222222;"08°50'01.0S""";"067°18'44.0W""";120;VFR;Sem Operação;18/36;1600;33;19/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1996-0085;https://pergamum.anac.gov.br/arquivos/PD1996-0085.pdf
SSSZ;PR0033;Sertanópolis;SERTANÓPOLIS;Paraná;Sertanópolis;Paraná;-23061944444;-51013888889;"23°03'43.0S""";"051°00'50.0W""";361;VFR;Sem Operação;10/28;1000;30;5700 Kg / 0.50 MPa;Grama;;;;;;Cadastrado;13/10/2025;PA2015-2705;https://pergamum.anac.gov.br/arquivos/PA2015-2705.pdf
SNST;BA0049;Souto Soares;SOUTO SOARES;Bahia;Souto Soares;Bahia;-12097222222;-41640555556;"12°05'50.0S""";"041°38'26.0W""";816;VFR;;17/35;1200;20;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;17/12/2025;PA2015-3334;https://pergamum.anac.gov.br/arquivos/PA2015-3334.pdf
SSAN;PR0032;João Galdino;ANDIRÁ;Paraná;;;-23026944444;-50228333333;"23°01'37.0S""";"050°13'42.0W""";490;VFR;;09/27;1000;23;5600 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;06/11/2027;PA2017-3631;https://pergamum.anac.gov.br/arquivos/PA2017-3631.pdf
SBTT;AM0005;Tabatinga;TABATINGA;Amazonas;Tabatinga;Amazonas;-4250555556;-69937777778;"04°15'02.0S""";"069°56'16.0W""";85;VFR / IFR Não Precisão;VFR / IFR Não Precisão;12/30;2150;45;33/F/D/X/U;Asfalto;;;;;;Cadastrado;;PD1990-0325;https://pergamum.anac.gov.br/arquivos/PD1990-0325.pdf
SNUH;MG0054;Piumhi;PIUMHI;Minas Gerais;Piumhi;Minas Gerais;-20438888889;-45992222222;"20°26'20.0S""";"045°59'32.0W""";751;VFR;Sem Operação;07/25;1148;30;14/F/A/Y/T;Asfalto;;;;;;Cadastrado;10/08/2030;PA2020-1981;https://pergamum.anac.gov.br/arquivos/PA2020-1981.pdf
SWHT;AM0019;Francisco Correa da Cruz;HUMAITÁ;Amazonas;Humaitá;Amazonas;-7533611111;-63050555556;"07°32'01.0S""";"063°03'02.0W""";70;VFR;Sem Operação;14/32;1200;45;7/F/B/Y/U;Terra;;;;;;Cadastrado;;PD1965-0149;https://pergamum.anac.gov.br/arquivos/PD1965-0149.pdf
SWBE;CE0006;Walfrido Samito de Almeida;SÃO BENEDITO;Ceará;São Benedito;Ceará;-4050000000;-40883333333;"04°03'00.0S""";"040°53'00.0W""";884;VFR;VFR;10/28;1500;30;12/F/B/Y/T;Asfalto;;;;;;Cadastrado;19/08/2023;PA2013-2111;https://pergamum.anac.gov.br/arquivos/PA2013-2111.pdf
SWII;AM0013;Ipiranga;SANTO ANTÔNIO DO IÇÁ;Amazonas;Santo Antônio do Içá;Amazonas;-2933611111;-69694722222;"02°56'01.0S""";"069°41'41.0W""";40;VFR;;01/19;1500;30;13/R/C/W/U;Concreto;;;;;;Cadastrado;21/09/2021;PA2011-1806;https://pergamum.anac.gov.br/arquivos/PA2011-1806.pdf
SSNQ;MS0016;Nioaque;NIOAQUE;Mato Grosso do Sul;Nioaque;Mato Grosso do Sul;-21184722222;-55830277778;"21°11'05.0S""";"055°49'49.0W""";300;VFR;Sem Operação;18/36;1200;60;8/F/C/Y/U;Grama;;;;;;Interditado;;PD1960-0110;https://pergamum.anac.gov.br/arquivos/PD1960-0110.pdf
SBJC;PA0005;Belém / Brigadeiro Protásio de Oliveira;BELÉM;Pará;Belém;Pará;-1415000000;-48458888889;"01°24'54.0S""";"048°27'32.0W""";162;VFR;;16/34;1106;30;34/F/C/X/U;Asfalto;;;;;;Cadastrado;31/01/2021;PA2011-0161;https://pergamum.anac.gov.br/arquivos/PA2011-0161.pdf
SNBA;SP0013;Chafei Amsei;BARRETOS;São Paulo;Barretos;São Paulo;-20585555556;-48595833333;"20°35'08.0S""";"048°35'45.0W""";580;VFR;VFR;08/26;1800;30;32/F/A/X/T;Asfalto;;;;;;Cadastrado;23/06/2030;PA2020-1562;https://pergamum.anac.gov.br/arquivos/PA2020-1562.pdf
SNIE;BA0020;Caetité;CAETITÉ;Bahia;Caetité;Bahia;-14012222222;-42493888889;"14°00'44.0S""";"042°29'38.0W""";976;VFR;;10/28;1365;20;12/F/C/Y/U;Asfalto;;;;;;Cadastrado;17/12/2025;PA2015-3332;https://pergamum.anac.gov.br/arquivos/PA2015-3332.pdf
SDAD;SP0046;Everaldo Moraes Barreto;ADAMANTINA;São Paulo;Adamantina;São Paulo;-21696111111;-51096388889;"21°41'46.0S""";"051°05'47.0W""";425;VFR;Sem Operação;09/27;1240;18;5000 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1086;https://pergamum.anac.gov.br/arquivos/PA2020-1086.pdf
SNEB;PA0018;Nagib Demachki;PARAGOMINAS;Pará;Paragominas;Pará;-3019722222;-47316388889;"03°01'11.0S""";"047°18'59.0W""";135;VFR;Sem Operação;09/27;1450;30;30/F/C/X/T;Asfalto;;;;;;Cadastrado;19/05/2030;PA2020-1291;https://pergamum.anac.gov.br/arquivos/PA2020-1291.pdf
SDBY;SP0032;Bariri;BARIRI;São Paulo;Bariri;São Paulo;-22069166667;-48706388889;"22°04'09.0S""";"048°42'23.0W""";493;VFR;Sem Operação;11/29;1470;30;5600 Kg / 0.50 MPa;Terra;;;;;;Cadastrado;20/05/2030;PA2020-1303;https://pergamum.anac.gov.br/arquivos/PA2020-1303.pdf
SNRU;PE0004;Caruaru;CARUARU;Pernambuco;Caruaru;Pernambuco;-8284444444;-36010833333;"08°17'04.0S""";"036°00'39.0W""";576;VFR;Sem Operação;13/31;1800;30;30/F/A/X/U;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1090;https://pergamum.anac.gov.br/arquivos/PA2020-1090.pdf
SBPS;BA0002;Porto Seguro;PORTO SEGURO;Bahia;Porto Seguro;Bahia;-16438055556;-39077777778;"16°26'17.0S""";"039°04'40.0W""";51;VFR / IFR Não Precisão;VFR / IFR Não Precisão;10/28;2000;45;44/R/B/X/T;Asfalto;;;;;;Cadastrado;;PD1998-0299;https://pergamum.anac.gov.br/arquivos/PD1998-0299.pdf
SNBG;ES0005;Baixo Guandu - Aimorés;BAIXO GUANDU;Espírito Santo;Baixo Guandu;Espírito Santo;-19498888889;-41041944444;"19°29'56.0S""";"041°02'31.0W""";80;VFR;;11/29;1200;30;10/F/C/Y/U;Asfalto;;;;;;Interditado;28/07/2025;PA2015-1984;https://pergamum.anac.gov.br/arquivos/PA2015-1984.pdf
SBBI;PR0006;Bacacheri;CURITIBA;Paraná;Curitiba;Paraná;-25403333333;-49233611111;"25°24'12.0S""";"049°14'01.0W""";932;VFR / IFR Não Precisão;VFR / IFR Não Precisão;18/36;1390;31;21/F/B/X/T;Asfalto;;;;;;Cadastrado;10/03/2026;PA2016-0533;https://pergamum.anac.gov.br/arquivos/PA2016-0533.pdf
SSGB;PR0035;Municipal de Guaratuba;GUARATUBA;Paraná;Guaratuba;Paraná;-25880555556;-48612222222;"25°52'50.0S""";"048°36'44.0W""";15;VFR;Sem Operação;02/20;1000;18;2500 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;18/11/2030;PA2020-3250;https://pergamum.anac.gov.br/arquivos/PA2020-3250.pdf
SWCZ;GO0024;Ceres;CERES;Goiás;Ceres;Goiás;-15344722222;-49604722222;"15°20'41.0S""";"049°36'17.0W""";598;VFR;;15/33;1200;23;2500 Kg / 0.50 MPa;Asfalto;;;;;;Interditado;09/10/2023;PA2013-2624;https://pergamum.anac.gov.br/arquivos/PA2013-2624.pdf
SSRG;SP0030;Aeroporto Estadual de Registro;REGISTRO;São Paulo;Registro;São Paulo;-24531666667;-47840277778;"24°31'54.0S""";"047°50'25.0W""";25;VFR;;10/28;1430;30;30/F/B/X/T;Asfalto;;;;;;Cadastrado;11/10/2022;PA2012-2146;https://pergamum.anac.gov.br/arquivos/PA2012-2146.pdf
SBUA;AM0003;São Gabriel da Cachoeira;SÃO GABRIEL DA CACHOEIRA;Amazonas;São Gabriel da Cachoeira;Amazonas;-148055556;-66985833333;"00°08'53.0S""";"066°59'09.0W""";76;VFR / IFR Não Precisão;Sem Operação;05/23;2600;45;47/F/C/X/U;Asfalto;;;;;;Cadastrado;05/05/2030;PA2020-1183;https://pergamum.anac.gov.br/arquivos/PA2020-1183.pdf
SSPG;PR0011;Santos Dumont;PARANAGUÁ;Paraná;Paranaguá;Paraná;-25540555556;-48531111111;"25°32'26.0S""";"048°31'52.0W""";5;VFR;Sem Operação;06/24;1455;30;16/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1991-0064;https://pergamum.anac.gov.br/arquivos/PD1991-0064.pdf
SNCZ;MG0059;Ponte Nova;PONTE NOVA;Minas Gerais;Ponte Nova;Minas Gerais;-20403055556;-42916666667;"20°24'11.0S""";"042°55'00.0W""";572;VFR;Sem Operação;07/25;1060;30;11/F/C/Y/T;Asfalto;;;;;;Cadastrado;;PD1999-0818;https://pergamum.anac.gov.br/arquivos/PD1999-0818.pdf
SNAS;MG0022;Três Marias;TRÊS MARIAS;Minas Gerais;Três Marias;Minas Gerais;-18225000000;-45190555556;"18°13'30.0S""";"045°11'26.0W""";786;VFR;Sem Operação;06/24;1500;45;24/F/C/X/U;Asfalto;;;;;;Cadastrado;;PD1960-0132;https://pergamum.anac.gov.br/arquivos/PD1960-0132.pdf
SWXV;MT0013;Xavantina;NOVA XAVANTINA;Mato Grosso;Nova Xavantina;Mato Grosso;-14690833333;-52349166667;"14°41'27.0S""";"052°20'57.0W""";316;VFR;Sem Operação;03/21;1490;45;10/F/C/Y/U;Terra;;;;;;Interditado;;PD1992-0119;https://pergamum.anac.gov.br/arquivos/PD1992-0119.pdf
SBOI;AP0002;Oiapoque;OIAPOQUE;Amapá;Oiapoque;Amapá;-3861388889;-51796111111;"03°51'41.0N""";"051°47'46.0W""";19;;;03/21;1200;30;10/F/B/Y/U;Asfalto;;;;;;Cadastrado;;PD1984-0039;https://pergamum.anac.gov.br/arquivos/PD1984-0039.pdf
SNVI;MG0035;Mello Viana;TRÊS CORAÇÕES;Minas Gerais;Três Corações;Minas Gerais;-21789166667;-45268055556;"21°47'21.0S""";"045°16'05.0W""";976;VFR;Sem Operação;04/22;1300;23;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;09/08/2029;PA2019-2431;https://pergamum.anac.gov.br/arquivos/PA2019-2431.pdf
SSMR;PR0026;Manoel Ribas;MANOEL RIBAS;Paraná;Manoel Ribas;Paraná;-24529444444;-51651666667;"24°31'46.0S""";"051°39'06.0W""";886;VFR;;17/35;1200;30;12/F/C/Y/U;Asfalto;;;;;;Interditado;02/06/2027;PA2017-1810;https://pergamum.anac.gov.br/arquivos/PA2017-1810.pdf
SNBX;BA0028;Barra;BARRA;Bahia;Barra;Bahia;-11081111111;-43147500000;"11°04'52.0S""";"043°08'51.0W""";389;VFR;;06/24;1300;20;10/F/B/X/U;Asfalto;;;;;;Cadastrado;15/03/2026;PA2016-0574;https://pergamum.anac.gov.br/arquivos/PA2016-0574.pdf
SNCA;MG0031;Campo Belo;CAMPO BELO;Minas Gerais;Campo Belo;Minas Gerais;-20892500000;-45335555556;"20°53'33.0S""";"045°20'08.0W""";970;VFR;Sem Operação;10/28;1420;30;25/F/A/X/T;Asfalto;;;;;;Cadastrado;23/06/2030;PA2020-1560;https://pergamum.anac.gov.br/arquivos/PA2020-1560.pdf
SSKK;RS0052;Capão da Canoa;CAPÃO DA CANOA;Rio Grande do Sul;Capão da Canoa;Rio Grande do Sul;-29763611111;-50036944444;"29°45'49.0S""";"050°02'13.0W""";10;VFR;Sem Operação;08/26;700;27;2500 Kg / 0.50 MPa;Grama;;;;;;Cadastrado;13/04/2030;PA2020-0979;https://pergamum.anac.gov.br/arquivos/PA2020-0979.pdf
SSQC;PR0029;Aguinaldo Pereira Lima;SIQUEIRA CAMPOS;Paraná;Siqueira Campos;Paraná;-23674444444;-49818888889;"23°40'28.0S""";"049°49'08.0W""";705;VFR;Sem Operação;07/25;1200;23;5700 Kg / 5.00 MPa;Asfalto;;;;;;Interditado;;PD1983-0010COMAR;https://pergamum.anac.gov.br/arquivos/PD1983-0010COMAR.pdf
SWFX;MT0022;São Félix do Araguaia;SÃO FÉLIX DO ARAGUAIA;Mato Grosso;São Félix do Araguaia;Mato Grosso;-11631944444;-50688333333;"11°37'55.0S""";"050°41'18.0W""";198;VFR;Sem Operação;12/30;1100;25;10/F/C/Y/U;Terra;;;;;;Cadastrado;;PD1997-0887;https://pergamum.anac.gov.br/arquivos/PD1997-0887.pdf
SDKK;SP0058;Mococa;MOCOCA;São Paulo;Mococa;São Paulo;-21487222222;-47033888889;"21°29'14.0S""";"047°02'02.0W""";651;VFR;;04/22;1000;30;8/F/C/Y/U;Terra;;;;;;Interditado;04/11/2023;PA2013-2824;https://pergamum.anac.gov.br/arquivos/PA2013-2824.pdf
SNPX;MG0028;Pirapora;PIRAPORA;Minas Gerais;Pirapora;Minas Gerais;-17313888889;-44858611111;"17°18'50.0S""";"044°51'31.0W""";551;VFR;Sem Operação;10/28;1480;30;10/F/B/Y/U;Asfalto;;;;;;Cadastrado;19/04/2030;PA2020-1087;https://pergamum.anac.gov.br/arquivos/PA2020-1087.pdf
SWPK;MT0021;Poconé;POCONÉ;Mato Grosso;Poconé;Mato Grosso;-16271666667;-56651111111;"16°16'18.0S""";"056°39'04.0W""";187;VFR;;01/19;1150;23;5700 Kg / 0.50 MPa;Cascalho;;;;;;Cadastrado;17/10/2026;PA2016-2706;https://pergamum.anac.gov.br/arquivos/PA2016-2706.pdf
SDCG;AM0016;Senadora Eunice Michiles;SÃO PAULO DE OLIVENÇA;Amazonas;São Paulo de Olivença;Amazonas;-3470555556;-68924166667;"03°28'14.0S""";"068°55'27.0W""";102;VFR;Sem Operação;04/22;1200;23;6/R/B/Y/T;Concreto;;;;;;Cadastrado;29/05/2028;PA2018-1632;https://pergamum.anac.gov.br/arquivos/PA2018-1632.pdf
SNZR;MG0026;Pedro Rabelo de Souza;PARACATU;Minas Gerais;Paracatu;Minas Gerais;-17243055556;-46881388889;"17°14'35.0S""";"046°52'53.0W""";730;VFR;Sem Operação;11/29;1500;30;11/F/C/Y/T;Asfalto;;;;;;Cadastrado;16/10/2028;PA2018-3129;https://pergamum.anac.gov.br/arquivos/PA2018-3129.pdf
SDET;SP0067;Tietê;TIETÊ;São Paulo;Tietê;São Paulo;-23104722222;-47724444444;"23°06'17.0S""";"047°43'28.0W""";501;VFR;Sem Operação;02/20;850;30;5000 Kg / 0.50 MPa;Terra;;;;;;Cadastrado;23/09/2030;PA2020-2412;https://pergamum.anac.gov.br/arquivos/PA2020-2412.pdf
SNBM;MG0051;Cristiano Ferreira Varella;MURIAÉ;Minas Gerais;Muriaé;Minas Gerais;-21128888889;-42366944444;"21°07'44.0S""";"042°22'01.0W""";270;VFR;Sem Operação;12/30;1140;23;12/F/B/Y/T;Asfalto;;;;;;Cadastrado;23/06/2020;PA2020-1561;https://pergamum.anac.gov.br/arquivos/PA2020-1561.pdf
SSCT;PR0025;Engenheiro Gastão de Mesquita Filho;CIANORTE;Paraná;Cianorte;Paraná;-23691666667;-52642222222;"23°41'30.0S""";"052°38'32.0W""";539;VFR;VFR;04/22;1200;23;5700 Kg / 0.62 MPa;Asfalto;;;;;;Cadastrado;21/01/2026;PA2016-0114;https://pergamum.anac.gov.br/arquivos/PA2016-0114.pdf
SNGB;PI0011;Gilbués;GILBUÉS;Piauí;Gilbués;Piauí;-9833611111;-45367222222;"09°50'01.0S""";"045°22'02.0W""";450;VFR;Sem Operação;09/27;1000;30;8/F/C/Y/U;Terra;;;;;;Interditado;;;
SNEE;RS0004;Vacaria Novo;VACARIA;Rio Grande do Sul;Vacaria;Rio Grande do Sul;-28431944444;-51022777778;"28°25'55.0S""";"051°01'22.0W""";900;VFR;;11/29;2020;30;32/F/A/X/T;Asfalto;;;;;;Cadastrado;13/01/2024;PA2014-0071;https://pergamum.anac.gov.br/arquivos/PA2014-0071.pdf
SNQD;PB0006;Sousa;SOUSA;Paraíba;Sousa;Paraíba;-6785555556;-38233888889;"06°47'08.0S""";"038°14'02.0W""";272;VFR;Sem Operação;15/33;1075;30;13/F/A/Y/U;Asfalto;;;;;;Cadastrado;05/06/2028;PA2018-1693;https://pergamum.anac.gov.br/arquivos/PA2018-1693.pdf
SSST;RS0015;Santiago;SANTIAGO;Rio Grande do Sul;Santiago;Rio Grande do Sul;-29215000000;-54842222222;"29°12'54.0S""";"054°50'32.0W""";445;VFR;Sem Operação;17/35;1340;60;8/F/C/Y/U;Terra;;;;;;Cadastrado;;;
SSKS;RS0039;Brigadeiro Nero Moura;CACHOEIRA DO SUL;Rio Grande do Sul;Cachoeira do Sul;Rio Grande do Sul;-30002222222;-52940277778;"30°00'08.0S""";"052°56'25.0W""";77;VFR;Sem Operação;12/30;1020;18;10/F/B/X/T;Asfalto;;;;;;Cadastrado;23/12/2030;PA2020-3744;https://pergamum.anac.gov.br/arquivos/PA2020-3744.pdf
SSEZ;RS0050;Espumoso;ESPUMOSO;Rio Grande do Sul;Espumoso;Rio Grande do Sul;-28738055556;-52855555556;"28°44'17.0S""";"052°51'20.0W""";390;VFR;;08/26;720;18;2000 Kg / 0.50 MPa;Grama;;;;;;Cadastrado;24/10/2028;PA2018-3262;https://pergamum.anac.gov.br/arquivos/PA2018-3262.pdf
SBUG;RS0012;Rubem Berta;URUGUAIANA;Rio Grande do Sul;Uruguaiana;Rio Grande do Sul;-29783333333;-57036944444;"29°47'00.0S""";"057°02'13.0W""";78;VFR / IFR Não Precisão;VFR / IFR Não Precisão;09/27;1500;30;18/F/C/Y/T;Asfalto;;;;;;Cadastrado;13/02/2025;PA2015-0388;https://pergamum.anac.gov.br/arquivos/PA2015-0388.pdf
SDBB;SP0018;Bebedouro;BEBEDOURO;São Paulo;Bebedouro;São Paulo;-20900277778;-48473611111;"20°54'01.0S""";"048°28'25.0W""";592;VFR;;13/31;1500;23;15/F/A/X/T;Asfalto;;;;;;Cadastrado;17/04/2024;PA2014-0924;https://pergamum.anac.gov.br/arquivos/PA2014-0924.pdf
SBJI;RO0005;Ji-Paraná;JI-PARANÁ;Rondônia;Ji-Paraná;Rondônia;-10870555556;-61846666667;"10°52'14.0S""";"061°50'48.0W""";182;VFR;VFR;03/21;1800;45;30/F/C/X/U;Asfalto;;;;;;Cadastrado;;PA2013-1452;https://pergamum.anac.gov.br/arquivos/PA2013-1452.pdf
SWTY;TO0009;Taguatinga;TAGUATINGA;Tocantins;Taguatinga;Tocantins;-12433888889;-46400555556;"12°26'02.0S""";"046°24'02.0W""";597;VFR;Sem Operação;05/23;1200;40;8/F/C/Y/U;Terra;;;;;;Cadastrado;;PD1952-0089;https://pergamum.anac.gov.br/arquivos/PD1952-0089.pdf
SWUD;MG0069;Deputado Oswaldo Tolentino;CLÁUDIO;Minas Gerais;Cláudio;Minas Gerais;-20445833333;-44812777778;"20°26'45.0S""";"044°48'46.0W""";820;VFR;Sem Operação;12/30;1000;30;15/F/B/Y/T;Asfalto;;;;;;Cadastrado;27/05/2030;PA2020-1389;https://pergamum.anac.gov.br/arquivos/PA2020-1389.pdf
SDCO;SP0027;Sorocaba;SOROCABA;São Paulo;Sorocaba;São Paulo;-23483055556;-47486388889;"23°28'59.0S""";"047°29'11.0W""";633;VFR;VFR;18/36;1480;30;36/F/B/X/T;Asfalto;;;;;;Cadastrado;;PD2006-0287;https://pergamum.anac.gov.br/arquivos/PD2006-0287.pdf
SSRZ;RS0024;Dário Brasil Capoano de Oliveira;ROSÁRIO DO SUL;Rio Grande do Sul;Rosário do Sul;Rio Grande do Sul;-30277500000;-54925277778;"30°16'39.0S""";"054°55'31.0W""";102;VFR;Sem Operação;10/28;1000;20;5700 Kg / 0.50 MPa;Saibro;;;;;;Interditado;09/04/2030;PA2020-0976;https://pergamum.anac.gov.br/arquivos/PA2020-0976.pdf
SWUA;GO0011;São Miguel do Araguaia;SÃO MIGUEL DO ARAGUAIA;Goiás;São Miguel do Araguaia;Goiás;-13333888889;-50205833333;"13°20'02.0S""";"050°12'21.0W""";384;VFR;Sem Operação;08/26;1500;30;5700 Kg / 0.50 MPa;Asfalto;;;;;;Cadastrado;18/05/2030;PA2020-1283;https://pergamum.anac.gov.br/arquivos/PA2020-1283.pdf
SJTS;PA0028;Terra Santa;TERRA SANTA;Pará;Terra Santa;Pará;-2072777778;-56488888889;"02°04'22.0S""";"056°29'20.0W""";25;VFR;Sem Operação;12/30;1000;23;5700 Kg / 0.50 MPa;Piçarra;;;;;;Interditado;;PD2004-1233;https://pergamum.anac.gov.br/arquivos/PD2004-1233.pdf
